"county_code","date_id","Clinton","Trump","Stein","Johnson"
13109,1015,1.74,7.53,0.19,0.19
13111,1015,4.44,8.48,0.29,0.65
13113,1015,3.34,6.85,0.20,0.40
13115,1015,3.29,5.32,0.17,0.52
13117,1015,4.22,8.09,0.20,0.91
13119,1015,2.98,7.14,0.09,0.37
13121,1015,3.38,7.74,0.18,0.54
13123,1015,3.32,6.75,0.41,0.55
13125,1015,3.77,7.55,0.00,0.00
13127,1015,2.91,4.32,0.12,0.47
13129,1015,3.54,6.04,0.23,0.51
13131,1015,3.81,5.63,0.08,0.46
13133,1015,2.51,7.03,0.06,0.75
13135,1015,3.63,7.65,0.18,0.57
13137,1015,2.88,5.93,0.31,0.78
13139,1015,3.23,7.09,0.15,0.64
13141,1015,8.31,8.01,0.00,0.00
13143,1015,3.73,5.50,0.09,0.74
13145,1015,3.60,6.43,0.38,0.72
13147,1015,4.29,6.30,0.17,0.46
13149,1015,2.19,5.83,0.29,1.31
13151,1015,3.27,7.28,0.13,0.35
13153,1015,3.26,5.93,0.22,0.67
13155,1015,3.05,4.67,0.00,0.20
13157,1015,3.96,6.53,0.21,0.84
13159,1015,3.59,7.19,0.13,0.64
13161,1015,3.12,5.87,0.12,0.50
13163,1015,1.73,6.31,0.00,0.10
13165,1015,3.38,5.92,0.56,0.56
13167,1015,1.44,4.89,0.57,0.29
13169,1015,3.97,6.64,0.10,0.55
13171,1015,3.37,4.64,0.14,0.35
13173,1015,2.70,6.31,0.00,0.30
13175,1015,3.23,6.89,0.14,0.37
13177,1015,4.77,7.55,0.19,0.24
13179,1015,2.16,3.96,0.18,0.45
13181,1015,3.43,8.48,0.20,1.21
13183,1015,4.71,6.06,0.00,0.51
13185,1015,3.23,6.06,0.22,0.78
13187,1015,4.82,7.94,0.33,1.12
13189,1015,2.94,5.14,0.00,0.56
13191,1015,1.71,3.75,0.00,0.34
13193,1015,1.79,5.98,0.00,0.00
13195,1015,3.15,5.28,0.37,0.44
13197,1015,3.32,2.58,0.37,0.00
13199,1015,2.75,5.45,0.22,0.65
13201,1015,6.55,10.08,0.00,0.25
13205,1015,2.58,4.55,0.00,0.34
13207,1015,3.51,6.05,0.14,0.41
13209,1015,2.93,4.88,0.16,0.65
13211,1015,3.09,7.36,0.05,0.37
13213,1015,4.24,6.29,0.25,0.53
13215,1015,3.00,6.01,0.21,0.57
13217,1015,2.94,6.52,0.21,0.72
13219,1015,3.72,7.81,0.22,0.77
13221,1015,3.55,12.41,0.00,0.44
13223,1015,3.79,7.73,0.13,0.70
13225,1015,3.40,6.53,0.00,0.88
13227,1015,4.63,6.87,0.20,0.67
13229,1015,3.25,6.09,0.16,0.89
13231,1015,3.64,6.65,0.32,0.75
13233,1015,3.93,8.02,0.38,0.64
13235,1015,3.15,6.96,0.00,0.39
13237,1015,4.19,7.32,0.04,0.53
13239,1015,3.23,9.68,1.61,0.00
13241,1015,3.51,7.18,0.16,0.80
13243,1015,2.67,10.98,0.00,0.89
13245,1015,3.39,6.50,0.18,0.55
13247,1015,2.65,6.10,0.21,0.38
13249,1015,5.71,6.19,0.00,0.48
13251,1015,2.94,5.33,0.11,0.44
13253,1015,3.01,5.08,0.00,1.51
13255,1015,2.93,6.15,0.10,0.59
13257,1015,2.85,5.42,0.16,1.04
13259,1015,3.66,5.86,0.37,0.37
13261,1015,3.88,5.90,0.15,0.22
13263,1015,11.59,22.46,0.00,0.00
13265,1015,4.08,10.20,0.00,0.00
13267,1015,2.91,5.59,0.05,0.33
13269,1015,2.70,4.91,0.00,0.49
13271,1015,2.55,4.03,0.00,0.64
13273,1015,1.43,6.75,0.00,0.00
13275,1015,3.32,6.45,0.21,0.44
13277,1015,2.97,6.45,0.18,0.85
13279,1015,2.57,4.66,0.08,0.57
13281,1015,3.99,6.86,0.24,0.64
13283,1015,6.82,8.52,0.00,0.00
13285,1015,2.86,5.41,0.11,0.51
13287,1015,2.08,3.99,0.00,0.00
