views,uploader,county_code
213,,22015
518,1,22017
265,,22017
641,1,22019
327,,22019
5,1,22027
7,,22027
4,,22029
3,1,22029
7,1,22031
13,,22031
2016,1,22033
880,,22033
2,1,22037
1,,22037
67,1,22039
62,,22039
8,1,22041
34,,22041
9,1,22043
9,,22043
151,1,22045
146,,22045
62,,22047
79,1,22047
2,1,22049
5,,22049
767,,22051
1486,1,22051
39,1,22053
46,,22053
1046,1,22055
702,,22055
236,1,22057
189,,22057
20,1,22059
3,,22059
47,,22061
199,1,22061
192,1,22063
126,,22063
3,1,22065
2,,22065
24,1,22067
35,,22067
44,,22069
99,1,22069
3230,1,22071
980,,22071
281,1,22073
237,,22073
65,1,22075
47,,22075
27,1,22077
24,,22077
423,1,22079
205,,22079
4,1,22081
3,,22081
9,,22083
7,1,22083
4,1,22085
3,,22085
81,1,22087
75,,22087
124,1,22089
78,,22089
4,1,22093
5,,22093
76,1,22095
59,,22095
224,1,22097
165,,22097
102,1,22099
81,,22099
102,1,22101
112,,22101
1137,1,22103
617,,22103
373,1,22105
214,,22105
130,,22109
215,1,22109
2,,22111
2,1,22111
63,1,22113
81,,22113
111,1,22115
88,,22115
56,1,22117
34,,22117
52,1,22119
29,,22119
39,1,22121
27,,22121
