views,uploader,county_code
1,1,20197
1,,20201
6,,20205
19,1,20205
1092,1,20209
468,,20209
49,1,21001
18,,21001
50,1,21003
43,,21003
121,1,21005
43,,21005
29,1,21007
10,,21007
304,1,21009
163,,21009
1,,21011
1,1,21011
111,1,21013
43,,21013
1708,1,21015
805,,21015
55,1,21017
24,,21017
472,1,21019
230,,21019
100,,21021
341,1,21021
10,1,21023
2,,21023
11,1,21025
12,,21025
12,1,21027
8,,21027
368,1,21029
162,,21029
29,1,21031
5,,21031
38,1,21033
26,,21033
403,1,21035
125,,21035
438,,21037
1177,1,21037
37,1,21041
21,,21041
29,,21043
59,1,21043
8,1,21045
3,,21045
322,1,21047
146,,21047
233,1,21049
241,,21049
70,,21051
101,1,21051
7,,21053
10,1,21053
4,1,21055
9,,21055
24,1,21057
16,,21057
669,1,21059
331,,21059
2,,21061
24,1,21065
32,,21065
4982,1,21067
1223,,21067
21,1,21069
11,,21069
139,,21071
202,1,21071
743,1,21073
225,,21073
17,1,21077
4,,21077
13,1,21079
88,1,21081
60,,21081
152,1,21083
83,,21083
33,1,21085
11,,21085
1,1,21087
49,1,21089
35,,21089
8,,21091
18,1,21091
1143,1,21093
569,,21093
59,1,21095
58,,21095
40,1,21097
24,,21097
22,,21099
20,1,21099
220,1,21101
102,,21101
3,1,21103
199,1,21107
85,,21107
32,1,21109
51,,21109
2739,,21111
10512,1,21111
1237,1,21113
475,,21113
92,1,21115
48,,21115
1778,1,21117
812,,21117
34,,21119
68,1,21119
256,1,21121
214,,21121
5,,21123
12,1,21123
264,,21125
498,1,21125
62,1,21127
44,,21127
4,1,21129
22,,21129
74,1,21131
49,,21131
62,,21133
76,1,21133
47,1,21137
27,,21137
3,1,21139
2,,21139
119,1,21141
67,,21141
11,1,21143
9,,21143
366,1,21145
129,,21145
47,1,21147
56,,21147
6,1,21149
3,,21149
971,1,21151
290,,21151
93,1,21153
72,,21153
33,1,21155
10,,21155
87,1,21157
52,,21157
47,1,21159
109,,21159
123,1,21161
38,,21161
83,1,21163
42,,21163
89,1,21167
36,,21167
16,,21169
22,1,21169
9,,21171
11,1,21171
107,1,21173
76,,21173
151,1,21175
106,,21175
37,,21177
55,1,21177
267,1,21179
127,,21179
2,,21181
7,,21183
22,1,21183
346,1,21185
132,,21185
45,1,21187
18,,21187
24,1,21189
11,,21189
16,1,21191
4,,21191
70,1,21193
38,,21193
230,1,21195
178,,21195
21,1,21197
7,,21197
209,1,21199
102,,21199
81,1,21203
34,,21203
262,1,21205
67,,21205
59,,21207
102,1,21207
117,,21209
428,1,21209
269,1,21211
117,,21211
110,1,21213
587,,21213
42,1,21215
35,,21215
137,1,21217
44,,21217
5,1,21219
57,1,21221
25,,21221
10,1,21223
1,,21223
29,1,21225
15,,21225
1266,1,21227
421,,21227
9,,21229
8,1,21229
27,1,21231
26,,21231
203,1,21235
173,,21235
3,1,21237
4,,21237
154,1,21239
48,,21239
66,,22001
105,1,22001
28,1,22003
19,,22003
735,1,22005
456,,22005
28,1,22007
13,,22007
55,1,22009
31,,22009
186,1,22011
153,,22011
20,1,22013
25,,22013
354,,22015
559,1,22015
1031,1,22017
456,,22017
531,,22019
947,1,22019
3,1,22027
2,,22027
22,1,22029
20,,22029
6,1,22031
16,,22031
3876,1,22033
1331,,22033
6,1,22035
11,,22035
5,1,22037
1,,22037
91,1,22039
105,,22039
14,1,22041
8,,22041
9,1,22043
20,,22043
216,1,22045
171,,22045
105,1,22047
88,,22047
9,,22049
7,1,22049
1078,,22051
2556,1,22051
53,1,22053
57,,22053
1979,1,22055
1014,,22055
375,1,22057
265,,22057
18,1,22059
5,,22059
381,1,22061
129,,22061
298,1,22063
193,,22063
9,1,22065
4,,22065
